pattern_id	repo	pattern	evidence	value	stack_setup_improvement
P023	both	license clarity in marketplace	repo@0f429d0:.claude-plugin/marketplace.json; repo@9b2ef9e:.claude-plugin/marketplace.json	Installers can filter by license	Add license-required rule for marketplace source acceptance
P024	both	public signals are not enough	repo@0f429d0:7902 stars; repo@9b2ef9e:91 stars	Trust must combine popularity, structure, and safety	Add source score split into trust and install-safety scores
P025	anthropic-cybersecurity-skills	security domain breadth	repo@0f429d0:README.md	Can seed candidate categories for security setup audit	Add cyber-category vocabulary to candidate review
P026	privacy-data-protection-skills	regulatory staleness risk surfaced in SECURITY.md	repo@9b2ef9e:SECURITY.md	Lists inaccurate regulatory citations as reportable issue	Add legal-staleness scanner/risk rule
P027	both	marketplace-only source acceptance	repo@0f429d0:.claude-plugin/marketplace.json; repo@9b2ef9e:.claude-plugin/marketplace.json	Supports user correction that any marketplace can be source	Keep policy: any marketplace allowed after provenance review
P028	anthropic-cybersecurity-skills	red-team candidate skills can remain links	repo@0f429d0:skills/*penetration*/SKILL.md	Linking avoids vendoring dangerous workflows	Add classification "link-only" for high-risk offensive skills
P029	privacy-data-protection-skills	privacy engineering skills are better candidates than legal templates	repo@9b2ef9e:privacy-engineering-skills	Technical workflows can be verified mechanically	Prioritize privacy-engineering over jurisdictional legal claims
P030	anthropic-cybersecurity-skills	DFIR workflows are safer than exploitation workflows	repo@0f429d0:digital-forensics skills	Forensics procedures can be read-only	Add safe-first candidate ranking for DFIR and detection skills
P031	both	manual review gates for generated templates	repo@9b2ef9e:assets/template.md; repo@0f429d0:assets/	Templates may contain realistic data or unsafe defaults	Add generated-template review checklist
P032	privacy-data-protection-skills	per-domain plugin install commands	repo@9b2ef9e:README.md	User can choose narrow domain install	Add docs pattern for listing multiple install paths by domain
P033	anthropic-cybersecurity-skills	C2 and malware skills need explicit avoid defaults	repo@0f429d0:skills/building-c2-infrastructure-with-sliver-framework/SKILL.md	Prevents accidental enablement of offensive workflows	Add avoid-list rule for C2 build skills unless user explicitly asks
P034	privacy-data-protection-skills	breach response skills need authority split	repo@9b2ef9e:data-breach-response-skills	Useful checklists but legal notification must be primary-sourced	Add authority split: workflow template versus legal requirement
P035	both	source review should record "what was not done"	repo@0f429d0:scripts not executed; repo@9b2ef9e:scripts not executed	Makes safety boundary auditable	Add no-execution statement to scorecards
P036	both	pinned commit as install precondition	repo@0f429d0:0f429d0; repo@9b2ef9e:9b2ef9e	Reduces supply-chain drift	Add pinned-ref required for community marketplace candidates
P037	privacy-data-protection-skills	metadata-rich marketplace descriptions	repo@9b2ef9e:.claude-plugin/marketplace.json	Supports automated candidate triage	Add parser for marketplace description keywords
P038	anthropic-cybersecurity-skills	coverage docs as quality evidence	repo@0f429d0:ATTACK_COVERAGE.md	Shows mature corpus organization	Add coverage-doc-present source score field
P039	both	high-risk domain requires guard wording in final recommendations	repo@0f429d0:SECURITY.md; repo@9b2ef9e:SECURITY.md	Prevents overconfident install guidance	Add final report guardrail checklist for high-risk domains
P040	both	evidence-first TSV artifacts	repo@0f429d0:path evidence; repo@9b2ef9e:path evidence	Makes future agents audit claims mechanically	Keep this distillation schema for future source reviews
